Heading, Pitch, Roll:
 -2.227
 80.257
 -2.032
  8.663
 59.692
-23.234
-19.846
 63.533
-23.313
 -1.661
 38.433
 -8.155
 33.480
-13.894
 23.801
 16.318
-10.059
 31.032
 18.936
 -7.051
 59.372
  5.930
 11.368
 38.338
 -4.128
-12.018
  1.048
-47.489
  2.189
-28.182
  3.022
-37.811
-47.840
 65.058
 27.411
  6.040
 32.909
 22.551
 15.574
 46.217
 -6.150
 -5.195
 65.836
-31.362
 -2.095
 37.543
-71.584
 27.522
-28.104
  2.267
 18.741
-19.317
 31.537
-61.757
 48.609
-25.077
  7.900
 14.635
-64.997
 62.262
-15.344
-11.206
 58.169
-33.213
  0.078
 13.611
-62.496
  7.406
-43.112
-12.715
 -0.123
-40.812
 27.254
-84.128
 34.303
-33.548
 -3.359
 16.796
-62.873
 43.528
 11.470
-10.233
 65.355
 -0.205
-11.664
 83.861
-26.328
-13.062
  1.306
-56.245
 33.220
-72.379
  7.985
-22.303
-32.576
  8.304
-69.005
 -2.559
-25.487
  7.728
 49.399
  4.763
 12.210
 27.871
 55.256
-35.088
 13.543
 12.243
-74.917
  9.356
-41.780
-11.881
  3.106
-47.983
 45.611
-48.716
 41.950
 -6.454
  1.125
 37.306
-46.323
 40.878
 22.070
-52.297
 41.808
 -9.841
 -7.199
 62.477
-28.273
  7.935
-17.898
-20.611
 -6.704
 21.048
-78.635
 33.924
 -8.301
 -7.409
 -2.785
 10.454
  1.528
  8.643
 17.101
  0.320
 39.035
 21.534
 -2.039
 58.391
 26.510
 -1.754
 30.901
 -4.908
 -1.644
-30.258
 32.023
 10.987
-16.125
-16.243
 64.091
-35.800
 72.687
 -6.803
  6.389
 60.951
-19.182
  3.739
 61.009
-18.214
 33.468
 69.387
  5.178
 -1.268
-13.993
 31.312
-27.902
 12.904
  8.032
-22.302
 61.382
-56.963
 20.645
 50.218
 79.878
 47.802
 48.683
 32.511
 68.070
 62.465
 63.026
 13.314
 55.724
 31.942
 -7.463
-48.925
 20.768
 18.114
-35.828
 53.255
-62.051
 24.944
  0.948
-35.131
 53.794
 17.431
 -0.093
 40.117
 19.132
 22.743
 26.153
  6.375
 60.940
  2.172
-19.156
 31.478
-70.824
 53.275
 25.314
 18.755
 43.563
 10.292
 41.042
 28.246
 22.479
-15.249
